selected_text;sentiment
I`d have responded, if I were going;neutral
Sooo SAD;negative
bullying me;negative
leave me alone;negative
Sons of ****,;negative
http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth;neutral
fun;positive
Soooo high;neutral
Both of you;neutral
Wow... u just became cooler.;positive
as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff;neutral
like;positive
DANGERously;negative
lost;negative
test test from the LG enV2;neutral
Uh oh, I am sunburned;negative
*sigh*;negative
sick;negative
onna;negative
Hes just not that into you;neutral
oh Marly, I`m so sorry!!  I hope you find her soon!! <3 <3;neutral
interesting.;positive
is cleaning the house for her family who is comming later today..;neutral
gotta restart my computer .. I thought Win7 was supposed to put an end to the constant rebootiness;neutral
SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH;neutral
the free fillin` app on my ipod is fun, im addicted;positive
I`m sorry.;negative
.no internet;negative
;
Power back up not working too;negative
Quite....heavenly;positive
hope;positive
well so much for being unhappy for about 10 minute;negative
funny.;positive
Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.;neutral
Thats it, its the end. Tears for Fears;neutral
miss;negative
just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned;neutral
soooooo sleeeeepy!!!;negative
A little happy fo;positive
Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting;neutral
avid fan of;positive
MAYDAY?!;neutral
RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80`S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK;neutral
I love to!;positive
The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?;neutral
SUCKKKKKK;negative
:visiting my friendster and facebook;neutral
dont like go;negative
d I`m not thrilled at all with mine.;negative
Then you should check out http://twittersucks.com and connect with other tweeple who hate twitter;neutral
also bored at school, its my third freelesson( freistunde );neutral
hm... Both of us I guess...;neutral
it is ****...u have dissappointed me that past few days;negative
romance zero is funny;positive
I`d rather do the early run..but I am a morning runner;neutral
hurts;negative
will be back later.;neutral
Torn ace of hearts;negative
what fun are you speaking of?;neutral
i lost all my friends, i`m alone and sleepy..;negative
haha yes;neutral
I give in to easily;negative
favorite;positive
jealous..;negative
Is at a photoshoot.;neutral
s awesome;positive
Yay playing a show tonight! Boo it`s gonna soggy and I`m at work right before playing;neutral
Chilliin;positive
If you know such agent, do let me know;neutral
I still smell of smoke  #kitchenfire;neutral
better;positive
Anyone have an extra Keane ticket? I promise to buy you a drink and take rad pics for your FB / Blog / Flickr., etc;neutral
'you can ride one, you can catch one, but its not summer til you pop open one'  ?;neutral
she is good! so gor-juz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no;neutral
OK - I`m out of here for now. Just popped in to say Hi and check on things. I`ll probably head to the guttah later on tonight;neutral
BADDD.;negative
My sources say no;neutral
I am sooo tired;negative
Hey, you change your twitter account, and you didn`t even tell me...;neutral
THANK YYYYYYYYYOOOOOOOOOOUUUUU!;positive
lucky;positive
fell asleep waiting for my ride!;neutral
Sick.;negative
, sorry guys;negative
Happy Star Wars day everyone! and Enjoy the holiday (UK);positive
Miles from you   I`m in Essex so give me plenty of warning so I can arrive in time to get at least one of those free beers;neutral
His snoring is so annoying n it keeps me from sleeping (like right now, lol) but I honestly wud miss it if it eva left  I love him.;neutral
i miss you bby;negative
cool;positive
Love it there;positive
_Mounce yes and it lasts way past my bedtime!;neutral
Hi  how are you doing ???  *just joined twitter...;neutral
tired;negative
eating ice cream and then getting ready for graduation.;neutral
Happy Mothers day to all you Mums out there;positive
freaked;negative
unfortunately;negative
Gonna read a story bout adam lambert online then bed. Nighty night;neutral
best;positive
Pretty;positive
Certainly not Cheers than, huh?;neutral
horrible,;negative
busy;negative
Awesome.;positive
at least I get to watch over time  Let`s go Pens!!;neutral
cool i wear black most of the time when i go out;neutral
thanks;positive
safe;positive
I wish I was allowed to go;positive
if u have a friendster add me!!!!!!!!!        my email adress      add me  loco_crime_1st.com        add me;neutral
has tickets.......?;neutral
Thank you,;positive
ACSM. it`s unfathomable.  i think the other one .. and the .. is one that should be kept to the comfort of our bedrooms. yes?;neutral
I love my;positive
I don`t feel confident;negative
sad.;negative
hahaa your awesomee !;positive
awesomeeeee;positive
I hate Fallout 3 it keeps making me jump, I`m also low on health, money, ammo and food  don`t worry I`ll get through it.;neutral
I had it! On my itunes, but then I lost all my songs.;neutral
What`s with the gloomy weather? The sun must be too tired to come out and play  heading to victoria gardens for some impulse buys haha;neutral
Not looking forward;negative
Poor you;negative
not well;negative
Not a prob;positive
at dads, watching some mtv and am going on sims2 in a minutee;neutral
Absolutely;neutral
what`s the matter chickadee?;neutral
y adore;positive
good;positive
I love him too;positive
painful.;negative
sad?;negative
e nice;positive
i wish;positive
Namaskar & Namaste r both the same. Marathi people say Namaskar! its a marathi word.... should i ? ...naaaah !;neutral
Congrats!  I cuss like that in a matter of minutes, But didn`t know until now there is a reward for it.;neutral
Humous and Dorito`s.... Oh yes;neutral
missed all the awesome weather,;negative
Today is going to be a normal day for I hope. We had a group of pilots from a large airline come in last night so it was too much drink;neutral
terrible!;negative
Unfortunatley,;negative
That sucks, tho.;negative
Hate fighting;negative
I watched that too!!! I didnt want her to win, but she put up a good fight..lol;neutral
Car-warmed Sprite tastes like sore throat;negative
Just came 11th in cross country and beat dumbo;neutral
enjoyable.;positive
endearing-;positive
tomorrow valeria`s lunch!!! going to get my hair done but im arraving late   got my cousins babtizm or whatever you spell it;neutral
goooooddd morning tweets!!;positive
hate;negative
fine!;positive
i don`t like the other ones.;negative
Mmmmmmmm... ? it in the morning;neutral
me neither;neutral
Has about 10 hours work to do, on a Sunday. Boo. I will find time for a two hour lunchbreak though. Yeah;neutral
